fcu_oveTSup_u,fcu_oveFan_u,zon_reaTRooAir_y,zon_weaSta_reaWeaTDryBul_y,time
293.15,0.5,294.4354306948648,273.69686535493827,28857900
299.449047654385,0.3,295.61444646070913,273.54066358024687,28858200
291.449047654385,0.1572348359505582,294.75310243506544,273.38203124999995,28858500
295.1138138467384,0.1040303258006983,294.76991822347384,273.2216049382716,28858800
287.1138138467384,0.3040303258006984,293.2405898595652,273.06002121913576,28859100
295.1138138467384,0.5040303258006984,294.3660488960197,272.8979166666666,28859400
288.0113062404897,0.7040303258006984,292.0327712676098,272.73592785493827,28859700
296.0113062404897,0.5040303258006984,294.24483439010515,272.57469135802467,28860000
300.18484241642795,0.3040303258006984,295.45430244658013,272.41484375,28860300
304.1242149348431,0.5040303258006984,297.5642649441088,272.25702160493825,28860600
296.1242149348431,0.3040303258006984,295.7825254638353,272.1018614969136,28860900
294.748039829516,0.5040303258006984,294.8340719092081,271.95,28861200
287.96454001383205,0.3040303258006984,293.18001025570743,271.8039094650206,28861500
295.96454001383205,0.5040303258006984,294.40486591187283,271.66522633744853,28861800
303.96454001383205,0.3837999972685498,296.5540585494321,271.5333333333333,28862100
307.4529361299861,0.2661230052812464,297.3350504729,271.40761316872425,28862400
299.4529361299861,0.0661230052812464,295.7762923811619,271.28744855967074,28862700
307.4529361299861,0.070085824432257,295.4571450931166,271.1722222222222,28863000
300.70230927398893,0.2700858244322571,295.67201355004386,271.06131687242794,28863300
308.70230927398893,0.4700858244322571,298.64594727292325,270.9541152263374,28863600
300.70230927398893,0.2700858244322571,296.878191605118,270.85,28863900
292.70230927398893,0.4700858244322571,294.4324006814725,270.748353909465,28864200
300.70230927398893,0.6700858244322572,296.54488238532133,270.6485596707819,28864500
299.3439585270548,0.7380909019708879,296.6457667185398,270.54999999999995,28864800
291.3439585270548,0.6197604219708612,293.6038645457016,270.4529449588477,28865100
293.6074699999822,0.4197604219708612,293.6142086995566,270.35812757201643,28865400
298.2617115667608,0.5080340432040519,294.9870385481702,270.265625,28865700
292.6188575300083,0.6901250390313043,293.49834269406404,270.17551440329214,28866000
291.1637904339364,0.7666121977500259,292.51453686191627,270.0878729423868,28866300
298.7003223146246,0.8102645560357363,295.4450428343197,270.00277777777774,28866600
306.7003223146246,0.9563568665612976,300.0367208415266,269.9203060699588,28866900
301.6966344848389,0.7563568665612976,298.25286341373504,269.84053497942386,28867200
293.6966344848389,0.5563568665612977,294.82133166372205,269.76354166666664,28867500
301.6966344848389,0.3563568665612976,295.76927252106304,269.68940329218105,28867800
293.6966344848389,0.5563568665612977,294.0920135138044,269.6181970164609,28868100
300.66948789135074,0.5030186749035831,295.7270984539928,269.54999999999995,28868400
292.66948789135074,0.7030186749035832,293.56409967132055,269.48454034391534,28868700
300.66948789135074,0.5803011627550744,295.78723718040527,269.42156084656085,28869000
308.66948789135074,0.3803011627550743,297.76530148300805,269.3611607142857,28869300
300.66948789135074,0.48533498393473645,296.7167652986681,269.3034391534391,28869600
295.65935378311417,0.42361756308767334,294.9091637103152,269.24849537037034,28869900
303.65935378311417,0.4581356220997942,296.6130056294,269.19642857142856,28870200
299.8698516741582,0.44829907683039244,296.0342834484428,269.1473379629629,28870500
291.8698516741582,0.3248711949614792,293.7957149477689,269.10132275132275,28870800
294.95597206927255,0.5248711949614793,293.78960110506296,269.05848214285714,28871100
302.95597206927255,0.5687294330703913,296.4731769383286,269.0189153439153,28871400
310.0147002293395,0.7687294330703913,300.63510876431974,268.9827215608465,28871700
302.0147002293395,0.5687294330703914,298.031581097592,268.95,28872000
308.6714975673974,0.3687294330703913,298.42331685715374,268.91980158730155,28872300
308.5313228641243,0.1687294330703913,297.1604046647663,268.89126984126983,28872600
300.5313228641243,0.3687294330703913,296.2078184847117,268.8646428571428,28872900
308.5313228641243,0.3416004814291534,297.5760117457594,268.8401587301587,28873200
310.973191080392,0.1416004814291534,296.8028627194684,268.8180555555556,28873500
306.74286085847115,0.3416004814291534,297.34709976204425,268.7985714285714,28873800
307.14218359823684,0.5416004814291535,298.7220936061987,268.78194444444443,28874100
